00000	BASIC LATIN
11CC0	<none>
11D00	MASARAM GONDI
11D60	GUNJALA GONDI
11DB0	<none>
11EE0	MAKASAR
11F00	KAWI
11F60	<none>
11FB0	LISU SUPPLEMENT
11FC0	TAMIL SUPPLEMENT
12000	CUNEIFORM
12400	CUNEIFORM NUMBERS AND PUNCTUATION
12480	EARLY DYNASTIC CUNEIFORM
12550	<none>
12F90	CYPRO MINOAN
13000	EGYPTIAN HIEROGLYPHS
13430	EGYPTIAN HIEROGLYPH FORMAT CONTROLS
13460	EGYPTIAN HIEROGLYPHS EXTENDED A
14400	ANATOLIAN HIEROGLYPHS
14680	<none>
16100	GURUNG KHEMA
16140	<none>
16800	BAMUM SUPPLEMENT
16A40	MRO
16A70	TANGSA
16AD0	BASSA VAH
16B00	PAHAWH HMONG
16B90	<none>
16D40	KIRAT RAI
16D80	<none>
16E40	MEDEFAIDRIN
16EA0	<none>
16F00	MIAO
16FA0	<none>
16FE0	IDEOGRAPHIC SYMBOLS AND PUNCTUATION
17000	TANGUT
18800	TANGUT COMPONENTS
18B00	KHITAN SMALL SCRIPT
18D00	TANGUT SUPPLEMENT
18D80	<none>
1AFF0	KANA EXTENDED B
1B000	KANA SUPPLEMENT
1B100	KANA EXTENDED A
1B130	SMALL KANA EXTENSION
1B170	NUSHU
1B300	<none>
1BC00	DUPLOYAN
1BCA0	SHORTHAND FORMAT CONTROLS
1BCB0	<none>
1CC00	SYMBOLS FOR LEGACY COMPUTING SUPPLEMENT
1CEC0	<none>
1CF00	ZNAMENNY MUSICAL NOTATION
1CFD0	<none>
1D000	BYZANTINE MUSICAL SYMBOLS
1D100	MUSICAL SYMBOLS
1D200	ANCIENT GREEK MUSICAL NOTATION
1D250	<none>
1D2C0	KAKTOVIK NUMERALS
1D2E0	MAYAN NUMERALS
1D300	TAI XUAN JING SYMBOLS
1D360	COUNTING ROD NUMERALS
1D380	<none>
1D400	MATHEMATICAL ALPHANUMERIC SYMBOLS
1D800	SUTTON SIGNWRITING
1DAB0	<none>
1DF00	LATIN EXTENDED G
1E000	GLAGOLITIC SUPPLEMENT
1E030	CYRILLIC EXTENDED D
1E090	<none>
1E100	NYIAKENG PUACHUE HMONG
1E150	<none>
1E290	TOTO
1E2C0	WANCHO
1E300	<none>
1E4D0	NAG MUNDARI
1E500	<none>
1E5D0	OL ONAL
1E600	<none>
1E7E0	ETHIOPIC EXTENDED B
1E800	MENDE KIKAKUI
1E8E0	<none>
1E900	ADLAM
1E960	<none>
1EC70	INDIC SIYAQ NUMBERS
1ECC0	<none>
1ED00	OTTOMAN SIYAQ NUMBERS
1ED50	<none>
1EE00	ARABIC MATHEMATICAL ALPHABETIC SYMBOLS
1EF00	<none>
1F000	MAHJONG TILES
1F030	DOMINO TILES
1F0A0	PLAYING CARDS
1F100	ENCLOSED ALPHANUMERIC SUPPLEMENT
1F200	ENCLOSED IDEOGRAPHIC SUPPLEMENT
1F300	MISCELLANEOUS SYMBOLS AND PICTOGRAPHS
1F600	EMOTICONS
1F650	ORNAMENTAL DINGBATS
1F680	TRANSPORT AND MAP SYMBOLS
1F700	ALCHEMICAL SYMBOLS
1F780	GEOMETRIC SHAPES EXTENDED
1F800	SUPPLEMENTAL ARROWS C
1F900	SUPPLEMENTAL SYMBOLS AND PICTOGRAPHS
1FA00	CHESS SYMBOLS
1FA70	SYMBOLS AND PICTOGRAPHS EXTENDED A
1FB00	SYMBOLS FOR LEGACY COMPUTING
1FC00	<none>
20000	CJK UNIFIED IDEOGRAPHS EXTENSION B
2A6E0	<none>
2A700	CJK UNIFIED IDEOGRAPHS EXTENSION C
2B740	CJK UNIFIED IDEOGRAPHS EXTENSION D
2B820	CJK UNIFIED IDEOGRAPHS EXTENSION E
2CEB0	CJK UNIFIED IDEOGRAPHS EXTENSION F
2EBF0	CJK UNIFIED IDEOGRAPHS EXTENSION I
2EE60	<none>
2F800	CJK COMPATIBILITY IDEOGRAPHS SUPPLEMENT
2FA20	<none>
30000	CJK UNIFIED IDEOGRAPHS EXTENSION G
31350	CJK UNIFIED IDEOGRAPHS EXTENSION H
323B0	<none>
E0000	TAGS
E0080	<none>
E0100	VARIATION SELECTORS SUPPLEMENT
E01F0	<none>
F0000	SUPPLEMENTARY PRIVATE USE AREA A
100000	SUPPLEMENTARY PRIVATE USE AREA B
